prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
454,CL-SH-SH-M897-L,Men's Sports Shorts- L,25,S ,7/1/2012,12/27/2008
455,CL-SH-SH-M897-X,Men's Sports Shorts- XL,25,S ,7/1/2012,12/27/2008
456,CL-TI-TG-W091-S,Women's Tights- S,31,S ,7/1/2012,12/27/2008
457,CL-TI-TG-W091-M,Women's Tights- M,31,S ,7/1/2012,12/27/2008
458,CL-TI-TG-W091-L,Women's Tights- L,31,S ,7/1/2012,12/27/2008
459,CL-BS-SB-M891-S,Men's Bib-Shorts- S,37,S ,7/1/2012,12/27/2008
460,CL-BS-SB-M891-M,Men's Bib-Shorts- M,37,S ,7/1/2012,12/27/2008
461,CL-BS-SB-M891-L,Men's Bib-Shorts- L,37,S ,7/1/2012,12/27/2008
462,CL-GL-GL-H102-S,Half-Finger Gloves- S,10,S ,7/1/2012,12/27/2008
463,CL-GL-GL-H102-S,Half-Finger Gloves- S,9,S ,7/1/2013,
464,CL-GL-GL-H102-M,Half-Finger Gloves- M,10,S ,7/1/2012,12/27/2008
465,CL-GL-GL-H102-M,Half-Finger Gloves- M,9,S ,7/1/2013,
466,CL-GL-GL-H102-L,Half-Finger Gloves- L,10,S ,7/1/2012,12/27/2008
467,CL-GL-GL-H102-L,Half-Finger Gloves- L,9,S ,7/1/2013,
468,CL-GL-GL-F110-S,Full-Finger Gloves- S,16,M ,7/1/2012,12/27/2008
469,CL-GL-GL-F110-M,Full-Finger Gloves- M,16,M ,7/1/2012,12/27/2008
470,CL-GL-GL-F110-L,Full-Finger Gloves- L,16,M ,7/1/2012,12/27/2008
471,CL-VE-VE-C304-S,Classic Vest- S,24,S ,7/1/2013,
472,CL-VE-VE-C304-M,Classic Vest- M,24,S ,7/1/2013,
473,CL-VE-VE-C304-L,Classic Vest- L,24,S ,7/1/2013,
474,CL-SH-SH-W890-S,Women's Mountain Shorts- S,26,M ,7/1/2013,
475,CL-SH-SH-W890-M,Women's Mountain Shorts- M,26,M ,7/1/2013,
476,CL-SH-SH-W890-L,Women's Mountain Shorts- L,26,M ,7/1/2013,
477,AC-BC-WB-H098,Water Bottle - 30 oz.,2,S ,7/1/2013,
478,AC-BC-BC-M005,Mountain Bottle Cage,4,M ,7/1/2013,
479,AC-BC-BC-R205,Road Bottle Cage,3,R ,7/1/2013,
480,AC-TT-PK-7098,Patch Kit/8 Patches,1,S ,7/1/2013,
481,CL-SO-SO-R809-M,Racing Socks- M,3,R ,7/1/2013,
482,CL-SO-SO-R809-L,Racing Socks- L,3,R ,7/1/2013,
483,AC-BR-RA-H123,Hitch Rack - 4-Bike,45,S ,7/1/2013,
484,AC-CL-CL-9009,Bike Wash - Dissolver,3,S ,7/1/2013,
485,AC-FE-FE-6654,Fender Set - Mountain,8,M ,7/1/2013,
486,AC-BS-ST-1401,All-Purpose Bike Stand,59,M ,7/1/2013,
487,AC-HP-HY-1023-70,Hydration Pack - 70 oz.,21,S ,7/1/2013,
488,CL-JE-SJ-0194-S,Short-Sleeve Classic Jersey- S,42,S ,7/1/2013,
489,CL-JE-SJ-0194-M,Short-Sleeve Classic Jersey- M,42,S ,7/1/2013,
490,CL-JE-SJ-0194-L,Short-Sleeve Classic Jersey- L,42,S ,7/1/2013,
491,CL-JE-SJ-0194-X,Short-Sleeve Classic Jersey- XL,42,S ,7/1/2013,
492,CO-TF-FR-T98Y-60,HL Touring Frame - Yellow- 60,602,T ,7/1/2013,
493,CO-TF-FR-T67Y-62,LL Touring Frame - Yellow- 62,200,T ,7/1/2013,
494,CO-TF-FR-T98Y-46,HL Touring Frame - Yellow- 46,602,T ,7/1/2013,
495,CO-TF-FR-T98Y-50,HL Touring Frame - Yellow- 50,602,T ,7/1/2013,
496,CO-TF-FR-T98Y-54,HL Touring Frame - Yellow- 54,602,T ,7/1/2013,
497,CO-TF-FR-T98U-46,HL Touring Frame - Blue- 46,602,T ,7/1/2013,
498,CO-TF-FR-T98U-50,HL Touring Frame - Blue- 50,602,T ,7/1/2013,
499,CO-TF-FR-T98U-54,HL Touring Frame - Blue- 54,602,T ,7/1/2013,
500,CO-TF-FR-T98U-60,HL Touring Frame - Blue- 60,602,T ,7/1/2013,
501,CO-DE-RD-2308,Rear Derailleur,54,,7/1/2013,
502,CO-TF-FR-T67U-50,LL Touring Frame - Blue- 50,200,T ,7/1/2013,
503,CO-TF-FR-T67U-54,LL Touring Frame - Blue- 54,200,T ,7/1/2013,
504,CO-TF-FR-T67U-58,LL Touring Frame - Blue- 58,200,T ,7/1/2013,
505,CO-TF-FR-T67U-62,LL Touring Frame - Blue- 62,200,T ,7/1/2013,
